+------------+------------+-----------+
|Vehicle Year|Vehicle Make|Num Tickets|
+------------+------------+-----------+
|        2021|       TOYOT|     117999|
|        2019|       HONDA|     113890|
|        2021|       HONDA|     107202|
|        2020|       HONDA|     104349|
|        2022|       TOYOT|      95782|
|        2022|       HONDA|      93183|
|        2018|       TOYOT|      91268|
|        2018|       HONDA|      91213|
|        2017|       TOYOT|      88740|
|        2019|        FORD|      86105|
|        2019|       NISSA|      85493|
|        2015|       TOYOT|      82077|
|        2019|       TOYOT|      81806|
|        2020|       NISSA|      79515|
|        2020|        FORD|      78507|
|        2020|       TOYOT|      78381|
|        2021|        JEEP|      75715|
|        2017|       HONDA|      75412|
|        2016|       TOYOT|      74918|
|        2021|       NISSA|      70402|
|        2017|        FORD|      70341|
|        2021|        FORD|      67789|
|        2017|       NISSA|      66394|
|        2016|       HONDA|      63652|
|        2018|       NISSA|      63648|
|        2021|         BMW|      62430|
|        2018|        FORD|      61329|
|        2016|        FORD|      59541|
|        2021|       ME/BE|      58700|
|        2022|         BMW|      58638|
|        2020|        JEEP|      58543|
|        2019|        JEEP|      58033|
|        2015|       NISSA|      56159|
|        2016|       NISSA|      55860|
|        2014|       TOYOT|      53818|
|        2018|       ME/BE|      52547|
|        2013|        FORD|      52526|
|        2015|        FORD|      51760|
|        2022|        FORD|      51519|
|        2015|       HONDA|      51219|
|        2020|       ME/BE|      50447|
|        2013|       HONDA|      50413|
|        2017|       ME/BE|      49129|
|        2022|       CHEVR|      49064|
|        2019|       ME/BE|      47600|
|        2013|       TOYOT|      47531|
|        2012|       HONDA|      47462|
|        2019|       CHEVR|      47452|
|        2014|       HONDA|      47432|
|        2020|       CHEVR|      45309|
|        2022|       ME/BE|      45062|
|        2007|       HONDA|      44025|
|        2008|       HONDA|      43876|
|        2022|       NISSA|      43761|
|        2018|       CHEVR|      43278|
|        2014|       NISSA|      43078|
|        2018|        JEEP|      42961|
|        2020|         BMW|      42659|
|        2018|         BMW|      42243|
|        2020|       HYUND|      41765|
|        2012|       TOYOT|      41579|
|        2021|       CHEVR|      41320|
|        2013|       NISSA|      41174|
|        2016|       ME/BE|      41017|
|        2010|       HONDA|      40315|
|        2011|       TOYOT|      40219|
|        2014|        FORD|      39210|
|        2009|       HONDA|      38816|
|        2011|       HONDA|      38800|
|        2021|       HYUND|      38724|
|        2022|       HYUND|      37659|
|        2007|       TOYOT|      37529|
|        2022|        JEEP|      37251|
|        2010|       TOYOT|      36961|
|        2017|       CHEVR|      36876|
|        2019|         BMW|      36693|
|        2012|       NISSA|      36506|
|        2012|        FORD|      36101|
|        2021|       LEXUS|      35431|
|        2021|       MAZDA|      35320|
|        2008|       TOYOT|      33117|
|        2006|       HONDA|      32340|
|        2017|         BMW|      32327|
|        2011|        FORD|      32196|
|        2008|        FORD|      32020|
|        2020|       ACURA|      31088|
|        2015|       ME/BE|      30994|
|        2021|         KIA|      30657|
|        2016|         BMW|      30500|
|        2015|        JEEP|      30407|
|        2022|         KIA|      30397|
|        2022|       TESLA|      30356|
|        2021|         RAM|      29862|
|        2017|        JEEP|      29243|
|        2006|       TOYOT|      29059|
|        2009|       TOYOT|      27993|
|        2011|       NISSA|      27970|
|        2019|       HYUND|      27909|
|        2015|         BMW|      27481|
|        2005|       HONDA|      27275|
|        2005|       TOYOT|      27238|
|        2010|       NISSA|      27031|
|        2010|        FORD|      26798|
|        2009|       NISSA|      26770|
|        2015|       CHEVR|      26392|
|        2018|       HYUND|      26377|
|        2016|       CHEVR|      26301|
|        2011|       CHEVR|      25803|
|        2019|         RAM|      25642|
|        2006|        FORD|      25618|
|        2021|       SUBAR|      25071|
|        2021|        AUDI|      24939|
|        2021|       VOLKS|      24880|
|        2022|       LEXUS|      24724|
|        2017|       HYUND|      24668|
|        2020|       LEXUS|      24595|
|        2014|        JEEP|      24302|
|        2014|       ME/BE|      23949|
|        2019|       LEXUS|      23824|
|        2016|        JEEP|      23761|
|        2004|       TOYOT|      23282|
|        2013|         BMW|      23149|
|        2019|       SUBAR|      22788|
|        2021|       TESLA|      22677|
|        2020|         KIA|      22677|
|        2019|       VOLKS|      22562|
|        2019|        AUDI|      22335|
|        2004|       HONDA|      22118|
|        2019|       DODGE|      22056|
|        2020|       SUBAR|      21924|
|        2018|        AUDI|      21724|
|        2022|       ACURA|      21444|
|        2014|         BMW|      21390|
|        2013|       HYUND|      21332|
|        2007|        FORD|      21125|
|        2021|       ACURA|      20877|
|        2008|       NISSA|      20553|
|        2016|       FRUEH|      20343|
|        2020|       ROVER|      19809|
|        2019|       ACURA|      19336|
|        2012|       CHEVR|      19280|
|        2019|         KIA|      19205|
|        2018|       DODGE|      19118|
|        2003|       HONDA|      18956|
|        2014|       CHEVR|      18835|
|        2013|       CHEVR|      18643|
|        2011|         BMW|      18468|
|        2022|       VOLKS|      18433|
|        2020|         RAM|      18065|
|        2022|       MAZDA|      17891|
|        2019|       INFIN|      17688|
|        2021|       DODGE|      17642|
|        2018|       SUBAR|      17484|
|        2009|        FORD|      17079|
|        2003|       TOYOT|      16919|
|        2017|       SUBAR|      16897|
|        2022|        AUDI|      16736|
|        2013|       ME/BE|      16453|
|        2019|         HIN|      16402|
|        2020|       MAZDA|      16153|
|        2017|       LEXUS|      16002|
|        2007|       NISSA|      15770|
|        2017|         RAM|      15618|
|        2020|       VOLKS|      15502|
|        2018|       LEXUS|      15267|
|        2015|       SUBAR|      15230|
|        2016|       HYUND|      15206|
|        2020|       DODGE|      15123|
|        2019|       MAZDA|      14849|
|        2022|       SUBAR|      14849|
|        2005|        FORD|      14764|
|        2021|       VOLVO|      14697|
|        2008|       CHEVR|      14669|
|        2012|        JEEP|      14530|
|        2018|       FRUEH|      14342|
|        2007|       CHEVR|      14295|
|        2022|         RAM|      14265|
|        2020|        AUDI|      14241|
|        2018|         RAM|      14234|
|        2015|       HYUND|      13924|
|        2012|       ME/BE|      13829|
|        2015|       INFIN|      13827|
|        2011|       HYUND|      13674|
|        2014|       FRUEH|      13587|
|        2018|       INFIN|      13585|
|        2017|       VOLKS|      13581|
|        2017|       DODGE|      13500|
|        2020|       INFIN|      13408|
|        2017|        AUDI|      13404|
|        2017|       INFIN|      13357|
|        2016|       SUBAR|      13345|
|        2015|       LEXUS|      13328|
|        2008|         BMW|      13304|
|        2020|       FRUEH|      13268|
|        2011|       ME/BE|      13233|
|        2004|        FORD|      13044|
|        2016|       LEXUS|      12978|
|        2018|       MAZDA|      12726|
|        2012|       HYUND|      12697|
|        2018|       VOLKS|      12578|
|        2021|       CADIL|      12569|
|        2002|       TOYOT|      12452|
|        2021|         GMC|      12413|
|        2010|       ME/BE|      12140|
|        2006|       NISSA|      12096|
|        2003|        FORD|      12001|
|        2010|       CHEVR|      11914|
|        2016|         RAM|      11882|
|        2021|       ROVER|      11840|
|        2022|       MITSU|      11697|
|        2006|       FRUEH|      11598|
|        2019|       ROVER|      11549|
|        2017|       ACURA|      11512|
|        2022|       DODGE|      11413|
|        2005|       NISSA|      11270|
|        2020|       VOLVO|      11258|
|        2016|       MAZDA|      11202|
|        2018|         KIA|      11196|
|        2012|         BMW|      11196|
|        2009|       CHEVR|      11195|
|        2022|       VOLVO|      11053|
|        2016|       DODGE|      10998|
|        2013|       LEXUS|      10970|
|        2011|        JEEP|      10801|
|        2015|       DODGE|      10693|
|        2013|       DODGE|      10647|
|        2014|       SUBAR|      10609|
|        2020|       TESLA|      10605|
|        2005|       CHEVR|      10570|
|        2002|       HONDA|      10518|
|        2015|       FRUEH|      10479|
|        2006|       CHEVR|      10389|
|        2022|       CADIL|      10346|
|        2019|         GMC|      10339|
|        2020|         GMC|      10322|
|        2022|         GMC|      10311|
|        2014|       HYUND|      10293|
|        2007|         BMW|      10263|
|        2019|       FRUEH|      10161|
|        2014|       DODGE|      10129|
|        2014|       INFIN|      10016|
|        2018|       ACURA|       9976|
|        2016|       ACURA|       9866|
|        2008|       ME/BE|       9830|
|        2013|       VOLKS|       9781|
|        2015|        AUDI|       9755|
|        2012|       VOLKS|       9683|
|        2017|         KIA|       9545|
|        2010|       LEXUS|       9511|
|        2020|       MITSU|       9447|
|        2006|         BMW|       9297|
|        2016|        AUDI|       9254|
|        2015|       ACURA|       9239|
|        2008|       LEXUS|       9236|
|        2007|       LEXUS|       9122|
|        2012|       DODGE|       9093|
|        2023|         KIA|       9072|
|        2013|       INFIN|       9033|
|        2010|       ACURA|       8808|
|        2002|        FORD|       8792|
|        2012|       ACURA|       8788|
|        2016|         KIA|       8742|
|        2023|         BMW|       8638|
|        2016|       VOLKS|       8575|
|        2004|       CHEVR|       8540|
|        2018|         HIN|       8511|
|        2019|       CADIL|       8504|
|        2008|       ACURA|       8292|
|        2008|       INFIN|       8261|
|        2017|       MAZDA|       8166|
|        2003|       CHEVR|       8130|
|        2014|       VOLKS|       8116|
|        2010|       HYUND|       8098|
|        2020|         HIN|       8092|
|        2022|       ROVER|       8050|
|        2015|         RAM|       8027|
|        2017|         GMC|       8016|
|        2001|       TOYOT|       8013|
|        2017|       FRUEH|       7930|
|        2007|         GMC|       7929|
|        2013|       SUBAR|       7908|
|        2018|       ROVER|       7884|
|        2015|         GMC|       7871|
|        2013|        JEEP|       7851|
|        2017|         HIN|       7829|
|        2009|         BMW|       7803|
|        2020|       LINCO|       7785|
|        2008|        JEEP|       7732|
|        2009|       HYUND|       7630|
|        2007|       ACURA|       7611|
|        2021|       CHRYS|       7552|
|        2013|         KIA|       7504|
|        2014|        AUDI|       7495|
|        2004|       NISSA|       7455|
|        2011|       SUBAR|       7402|
|        2010|       DODGE|       7402|
|        2014|       ACURA|       7390|
|        2015|       VOLKS|       7382|
|        2008|       HYUND|       7370|
|        2013|        AUDI|       7345|
|        2021|       PORSC|       7343|
|        2015|         KIA|       7337|
|        2009|       ACURA|       7330|
|        2020|       CHRYS|       7274|
|        2020|       CADIL|       7225|
|        2014|       LEXUS|       7210|
|        2018|         GMC|       7209|
|        2007|       HYUND|       7172|
|        2021|       INFIN|       7072|
|        2014|         RAM|       7062|
|        2009|       ME/BE|       7039|
|        2015|         HIN|       6996|
|        2008|       DODGE|       6987|
|        2007|       ME/BE|       6952|
|        2004|       FRUEH|       6952|
|        2010|         BMW|       6908|
|        2016|       ROVER|       6898|
|        2021|       FRUEH|       6877|
|        2015|       CHRYS|       6784|
|        2001|       HONDA|       6756|
|        2022|       CHRYS|       6749|
|        2011|       INFIN|       6712|
|        2004|       LEXUS|       6710|
|        2016|       INFIN|       6695|
|        2016|         HIN|       6682|
|        2011|       ACURA|       6646|
|        2023|       NISSA|       6623|
|        2006|       LEXUS|       6583|
|        2011|       DODGE|       6573|
|        2012|        AUDI|       6547|
|        2010|       SUBAR|       6523|
|        2012|       INFIN|       6485|
|        2019|       VOLVO|       6484|
|        2013|       ACURA|       6475|
|        2019|       CHRYS|       6473|
|        2006|       ACURA|       6417|
|        2007|       DODGE|       6414|
|        2012|       SUBAR|       6376|
|        2005|       ACURA|       6367|
|        2017|       ROVER|       6304|
|        2010|       MAZDA|       6299|
|        2021|       LINCO|       6223|
|        2011|       LEXUS|       6189|
|        2019|       MITSU|       6117|
|        2007|        JEEP|       6084|
|        2012|         KIA|       6030|
|        2016|         GMC|       6025|
|        2007|       FRUEH|       5991|
|        2019|       ISUZU|       5981|
|        2011|         KIA|       5980|
|        2011|       VOLKS|       5980|
|        2019|       LINCO|       5972|
|        2014|       MAZDA|       5968|
|        2016|       KENWO|       5916|
|        2006|       ME/BE|       5884|
|        2013|         HIN|       5819|
|        2002|       CHEVR|       5803|
|        2023|       HONDA|       5781|
|        2001|        FORD|       5765|
|        2018|       ISUZU|       5763|
|        2023|       HYUND|       5748|
|        2020|       ISUZU|       5722|
|        2003|       NISSA|       5720|
|        2014|         KIA|       5680|
|        2020|       PORSC|       5633|
|        2006|       DODGE|       5630|
|        2021|       MITSU|       5526|
|        2004|         BMW|       5512|
|        2017|       ISUZU|       5487|
|        2007|       INFIN|       5477|
|        2004|       ACURA|       5477|
|        2018|       CADIL|       5324|
|        2022|       PORSC|       5316|
|        2011|        AUDI|       5303|
|        2010|       INFIN|       5149|
|        2006|        JEEP|       5141|
|        2009|       INFIN|       5130|
